"Nome";"Código";"Latitude";"Longitude";"Altitude";"Status da Operação";"Ínicio da Operação"
"PATOS DE MINAS - MG";83531;-18.51;-46.43;940.28;"Estação Operante";"23/10/1947"
"PAULISTANA - PI";82882;-8.13;-41.13;374.22;"Estação Operante";"22/09/1975"
"PAULO AFONSO - BA";82986;-9.36;-38.21;252.69;"Estação Operante";"01/02/1951"
"PEDRA AZUL - MG";83393;-16;-41.28;648.91;"Estação Operante";"01/10/1918"
"PEDRO AFONSO - TO";82863;-8.96;-48.18;187;"Estação Operante";"04/03/1977"
"PEIXE - TO";83228;-12.01;-48.35;242.49;"Estação Operante";"01/05/1975"
"PELOTAS - RS";83985;-31.78;-52.41;13;"Estação Operante";"01/01/1926"
"PETROLINA - PE";82983;-9.38;-40.48;370.46;"Estação Operante";"01/01/1941"
"PICOS - PI";82780;-7.03;-41.48;207.93;"Estação Operante";"01/11/1923"
"PIRAPORA - MG";83483;-17.35;-44.91;505.24;"Estação Operante";"23/12/1912"
"PIRENOPOLIS - GO";83376;-15.85;-48.96;740;"Estação Operante";"17/02/1977"
"PIRIPIRI - PI";82480;-4.26;-41.78;161.12;"Estação Operante";"09/03/1976"
"POMPEU - MG";83570;-19.21;-45;690.91;"Estação Operante";"01/11/1972"
"PONTA PORA - MS";83702;-22.55;-55.71;650;"Estação Operante";"24/11/1941"
"PORTO ALEGRE - RS";83967;-30.05;-51.16;46.97;"Estação Operante";"09/12/1909"
"PORTO DE MOZ - PA";82184;-1.73;-52.23;15.93;"Estação Operante";"23/04/1928"
"PORTO DE PEDRAS - AL";82996;-9.18;-35.43;50.02;"Estação Operante";"14/03/1927"
"PORTO NACIONAL - TO";83064;-10.71;-48.41;239.2;"Estação Operante";"01/01/1915"
"POSSE - GO";83332;-14.1;-46.36;825.64;"Estação Operante";"04/08/1975"
"POXOREO - MT";83358;-15.83;-54.38;450;"Estação Operante";"18/09/1978"
"PRESIDENTE PRUDENTE - SP";83716;-22.11;-51.38;435.55;"Estação Operante";"01/10/1940"
"PROPRIA - SE";83097;-10.21;-36.84;19.92;"Estação Operante";"10/05/1925"
"QUIXERAMOBIM - CE";82586;-5.16;-39.28;79.5;"Estação Operante";"01/01/1896"
"RECIFE  CURADO  - PE";82900;-8.05;-34.95;10;"Estação Operante";"07/07/1961"
"REMANSO - BA";82979;-9.63;-42.1;400.51;"Estação Operante";"01/10/1927"
"RESENDE - RJ";83738;-22.45;-44.44;439.89;"Estação Operante";"22/05/1944"
"RIO BRANCO - AC";82915;-9.96;-67.8;160;"Estação Operante";"01/01/1929"
"RIO DE JANEIRO - RJ";83743;-22.89;-43.18;11.1;"Estação Operante";"01/01/1917"
"RIO GRANDE - RS";83995;-32.03;-52.11;2.46;"Estação Operante";"01/01/1912"
"RIO VERDE - GO";83470;-17.8;-50.91;774.62;"Estação Operante";"01/01/1971"
"RONCADOR - DF";83373;-15.93;-47.88;1100.57;"Estação Operante";"28/05/1979"
"RONDONOPOLIS - MT";83410;-16.45;-54.56;284;"Estação Operante";"01/01/1992"
"S G DA CACHOEIRA UAUPES  - AM";82106;-0.11;-67;90;"Estação Operante";"01/04/1920"
"SAO GONCALO - PB";82689;-6.75;-38.21;233.06;"Estação Operante";"08/10/1938"
"SALINAS - MG";83441;-16.15;-42.28;471.32;"Estação Operante";"05/03/1925"
"SALVADOR  ONDINA  - BA";83229;-13.01;-38.53;51.41;"Estação Operante";"01/01/1903"
"SANTA MARIA - RS";83936;-29.7;-53.7;95;"Estação Operante";"01/01/1912"
"SANTA VITORIA DO PALMAR - RS";83997;-33.51;-53.35;24.01;"Estação Operante";"01/10/1912"
"SANTANA DO LIVRAMENTO - RS";83953;-30.83;-55.6;328;"Estação Operante";"01/06/1912"
"SAO CARLOS - SP";83726;-21.96;-47.86;856;"Estação Operante";"24/09/1939"
"SAO FELIX DO XINGU - PA";82668;-6.63;-51.96;206;"Estação Operante";"07/07/1972"
"SAO JOAO DO PIAUI - PI";82879;-8.35;-42.25;235.33;"Estação Operante";"30/09/1975"
"SAO JOAQUIM - SC";83920;-28.3;-49.93;1415;"Estação Operante";"01/08/1954"
"SAO JOSE DO RIO CLARO - MT";83267;-13.43;-56.71;350;"Estação Operante";"14/03/1990"
"SAO LOURENCO - MG";83736;-22.1;-45.01;953.2;"Estação Operante";"04/02/1922"
"SAO LUIS - MA";82280;-2.53;-44.21;50.86;"Estação Operante";"18/11/1924"
"SAO LUIZ GONZAGA - RS";83907;-28.4;-55.01;245.11;"Estação Operante";"01/04/1912"
"SAO MATEUS - ES";83550;-18.7;-39.85;25.04;"Estação Operante";"26/06/1969"
"SAO PAULO MIR de SANTANA  - SP";83781;-23.5;-46.61;792.06;"Estação Operante";"01/12/1945"
"SAO S DO PARAISO - MG";83631;-20.91;-47.11;820;"Estação Operante";"29/04/1945"
"SAO SIMAO - SP";83669;-21.48;-47.55;617.39;"Estação Operante";"01/01/1920"
"SENHOR DO BONFIM - BA";83088;-10.46;-40.18;558.24;"Estação ";"01/01/1940"
"SERIDO  CAICO  - RN";82690;-6.46;-37.08;169.85;"Estação Operante";"14/03/1995"
"SERRINHA - BA";83190;-11.63;-38.96;359.63;"Estação Operante";"01/02/1904"
"SETE LAGOAS - MG";83586;-19.46;-44.25;732;"Estação Operante";"03/05/1926"
"SOBRAL - CE";82392;-3.73;-40.33;109.62;"Estação Operante";"01/07/1919"
"SOROCABA - SP";83851;-23.48;-47.43;645;"Estação Operante";"01/01/1928"
"SOURE - PA";82141;-0.73;-48.51;10.49;"Estação Operante";"21/08/1928"
"STa  R  DE CASSIA  IBIPETUBA  - BA";83076;-11.01;-44.51;450.3;"Estação Operante";"13/12/1911"
"SURUBIM - PE";82797;-7.83;-35.71;418.32;"Estação Operante";"01/10/1929"
"TAGUATINGA - TO";83235;-12.4;-46.41;603.59;"Estação Operante";"22/12/1915"
"TARAUACA - AC";82807;-8.16;-70.76;190;"Estação Operante";"06/06/1966"
"TAUA - CE";82683;-6;-40.41;398.77;"Estação Operante";"01/02/1962"
"TAUBATE - SP";83784;-23.03;-45.55;577;"Estação Operante";"01/01/1943"
"TEFE - AM";82317;-3.83;-64.7;47;"Estação Operante";"04/01/1929"
"TERESINA - PI";82578;-5.08;-42.81;74.36;"Estação Operante";"21/03/1911"
"TORRES - RS";83948;-29.35;-49.73;4.66;"Estação Operante";"01/01/1913"
"TRACUATEUA - PA";82145;-1.06;-46.9;36;"Estação Operante";"08/09/1972"
"TRIUNFO - PE";82789;-7.81;-38.11;1105;"Estação Operante";"01/06/1953"
"TUCURUI - PA";82361;-3.76;-49.66;40;"Estação Operante";"01/01/1970"
"TURIACU - MA";82198;-1.56;-45.36;44.06;"Estação Operante";"29/07/1976"
"UBERABA - MG";83577;-19.73;-47.95;737;"Estação Operante";"11/10/1913"
"UNAI - MG";83428;-16.36;-46.88;460;"Estação Operante";"07/04/1976"
"URUGUAIANA - RS";83927;-29.75;-57.08;62.31;"Estação Operante";"01/02/1912"
"URUSSANGA - SC";83923;-28.51;-49.31;48.17;"Estação Operante";"01/01/1924"
"VALE DO GURGUEIA  CRISTIANO CASTRO  - PI";82870;-8.41;-43.71;265;"Estação Operante";"01/08/1978"
"VICOSA - MG";83642;-20.76;-42.86;712.2;"Estação Operante";"01/10/1919"
"VITORIA - ES";83648;-20.31;-40.31;36.2;"Estação Operante";"20/11/1923"
"VITORIA DA CONQUISTA - BA";83344;-14.88;-40.79;874.81;"Estação Operante";"01/01/1936"
"VOTUPORANGA - SP";83623;-20.41;-49.98;502.5;"Estação Operante";"05/07/1976"
"ZE DOCA - MA";82376;-3.26;-45.65;45.28;"Estação Operante";"25/08/1970"
